year,total_value,algeria_export_v,importers,products
2012,16174663858.710001,74070438.581,97,1224
2013,16612018766.544,70256115.157,97,1224
2014,16774742924.839,63051589.038,97,1224
2015,14730648151.154,38394684.33,97,1224
2016,14347817473.017,31489354.387000002,97,1224
2017,15932575334.673,38488203.528,97,1224
2018,17466275310.613,41245374.543,97,1224
2019,16969161765.351,35660332.345,97,1224
2020,15609725950.513,21353524.116,97,1224
2021,19497229516.103,37536384.771,97,1224
2022,21934026547.841,64250139.036,97,1223
2023,20873026453.093,55432712.413,97,1224
2024,20713384241.679,47752240.544,97,1224
